Ip1, Ip2, Ip3, Ip4, Phone, SurvivalTime, AverageAnswerTime, Outcome
218,13,194,182,16534,36,2,1
59,33,90,134,17010,1,1.9,1
59,33,90,134,17013,1,1.8,1
220,173,251,98,17053,19,1.8,1
120,42,214,253,16238,1,1.8,1
27,186,3,129,17064,21,1.6,1
36,248,143,27,17069,20,2,1
114,223,209,174,16521,1,1.8,1
59,33,90,134,17013,20,1.9,1
120,42,214,253,16773,1,2,1
218,13,194,182,17064,1,2.1,1
218,13,194,182,18411,2,2,1
59,33,90,134,17013,41,2,1
114,235,239,76,16533,25,2.2,1
114,235,239,76,17061,28,2.5,1
1,181,243,7,17019,25,1.9,1
218,13,194,182,16533,23,2.1,1
1,25,60,52,16532,1,1.8,1
1,25,60,52,16233,1,1.9,1
218,13,194,182,17016,2,1.8,1
59,33,90,134,17013,47,1.6,1
1,181,243,7,18411,1,1.9,1
59,33,90,134,17013,40,1.8,1
1,181,243,7,16533,22,1.9,1
220,173,251,98,16532,1,1.7,1
39,155,69,239,17061,21,1.9,1
114,223,209,174,16714,41,2,1
1,25,60,52,15802,23,2.1,1
114,223,209,174,16750,21,2.1,1
39,155,69,239,17102,22,1.6,1
36,248,143,27,17054,22,2.2,1
36,248,143,27,17016,23,2,1
114,223,209,174,16238,1,2,1
59,33,90,134,17013,1,1.8,1
120,42,214,253,16722,43,2,1
59,33,90,134,17013,1,1.6,1
115,201,199,247,15874,1,1.9,1
59,33,90,134,17013,1,1.9,1
59,33,90,134,17013,1,2.1,1
220,173,251,98,18411,23,2.1,1
1,25,60,52,16532,1,1.8,1
59,33,90,134,17013,19,1.9,1
220,173,251,98,18411,39,1.8,1
120,42,214,253,16533,40,1.8,1
27,186,3,129,16532,1,1.8,1
1,181,243,7,16534,23,1.9,1
27,186,3,129,17012,1,1.9,1
120,42,214,253,17064,40,1.7,1
125,89,224,95,16533,23,1.7,1
220,173,251,98,18411,42,1.9,1
1,25,60,52,17016,1,1.7,1
114,235,239,76,16750,1,1.9,1
27,186,3,129,17064,2,1.9,1
125,89,224,95,16532,1,1.9,1
1,25,60,52,17053,43,1.9,1
123,244,0,22,16237,1,1.8,1
1,25,60,52,16238,2,2,1
1,25,60,52,17102,19,1.9,1
1,25,60,52,17017,21,2.1,1
27,186,3,129,17064,40,2,1
220,173,251,98,18411,21,1.8,1
115,201,199,247,15874,1,1.6,1
1,25,60,52,15874,21,2,1
1,181,243,7,17100,1,2.3,1
39,155,69,239,17053,21,2,1
220,173,251,98,17102,1,2.1,1
115,48,57,219,18411,22,1.9,1
36,248,143,27,16532,1,2,1
1,25,60,52,16713,3,1.8,1
27,186,3,129,16233,20,2,1
1,25,60,52,17061,1,2,1
115,201,199,247,17019,2,1.9,1
123,244,0,22,16264,1,2.2,1
120,42,214,253,16532,44,1.9,1
123,244,0,22,16532,1,1.9,1
125,89,224,95,16752,1,1.8,1
180,164,92,122,16533,1,1.9,1
1,181,243,7,17050,55,2.8,1
180,165,86,200,16233,1,1.9,1
114,227,187,232,17013,92,2,1
1,25,60,52,16799,21,1.9,1
